# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 238
1 1 CAMERA 1
2 1 CAMERA 2
3 1 CAMERA 3
4 1 CAMERA 4
5 1 CAMERA 5
6 1 CAMERA 6
7 1 CAMERA 7
8 1 CAMERA 8
9 1 CAMERA 9
10 1 CAMERA 10
11 1 CAMERA 11
12 1 CAMERA 12
13 1 CAMERA 13
14 1 CAMERA 14
15 1 CAMERA 15
16 1 CAMERA 16
17 1 CAMERA 17
18 1 CAMERA 18
19 1 CAMERA 19
20 1 CAMERA 20
21 1 CAMERA 21
22 1 CAMERA 22
23 1 CAMERA 23
24 1 CAMERA 24
25 1 CAMERA 25
26 1 CAMERA 26
27 1 CAMERA 27
28 1 CAMERA 28
29 1 CAMERA 29
30 1 CAMERA 30
31 1 CAMERA 31
32 1 CAMERA 32
33 1 CAMERA 33
34 1 CAMERA 34
35 1 CAMERA 35
36 1 CAMERA 36
37 1 CAMERA 37
38 1 CAMERA 38
39 1 CAMERA 39
40 1 CAMERA 40
41 1 CAMERA 41
42 1 CAMERA 42
43 1 CAMERA 43
44 1 CAMERA 44
45 1 CAMERA 45
46 1 CAMERA 46
47 1 CAMERA 47
48 1 CAMERA 48
49 1 CAMERA 49
50 1 CAMERA 50
51 1 CAMERA 51
52 1 CAMERA 52
53 1 CAMERA 53
54 1 CAMERA 54
55 1 CAMERA 55
56 1 CAMERA 56
57 1 CAMERA 57
58 1 CAMERA 58
59 1 CAMERA 59
60 1 CAMERA 60
61 1 CAMERA 61
62 1 CAMERA 62
63 1 CAMERA 63
64 1 CAMERA 64
65 1 CAMERA 65
66 1 CAMERA 66
67 1 CAMERA 67
68 1 CAMERA 68
69 1 CAMERA 69
70 1 CAMERA 70
71 1 CAMERA 71
72 1 CAMERA 72
73 1 CAMERA 73
74 1 CAMERA 74
75 1 CAMERA 75
76 1 CAMERA 76
77 1 CAMERA 77
78 1 CAMERA 78
79 1 CAMERA 79
80 1 CAMERA 80
81 1 CAMERA 81
82 1 CAMERA 82
83 1 CAMERA 83
84 1 CAMERA 84
85 1 CAMERA 85
86 1 CAMERA 86
87 1 CAMERA 87
88 1 CAMERA 88
89 1 CAMERA 89
90 1 CAMERA 90
91 1 CAMERA 91
92 1 CAMERA 92
93 1 CAMERA 93
94 1 CAMERA 94
95 1 CAMERA 95
96 1 CAMERA 96
97 1 CAMERA 97
98 1 CAMERA 98
99 1 CAMERA 99
100 1 CAMERA 100
101 1 CAMERA 101
102 1 CAMERA 102
103 1 CAMERA 103
104 1 CAMERA 104
105 1 CAMERA 105
106 1 CAMERA 106
107 1 CAMERA 107
108 1 CAMERA 108
109 1 CAMERA 109
110 1 CAMERA 110
111 1 CAMERA 111
112 1 CAMERA 112
113 1 CAMERA 113
114 1 CAMERA 114
115 1 CAMERA 115
116 1 CAMERA 116
117 1 CAMERA 117
118 1 CAMERA 118
119 1 CAMERA 119
120 1 CAMERA 120
121 1 CAMERA 121
122 1 CAMERA 122
123 1 CAMERA 123
124 1 CAMERA 124
125 1 CAMERA 125
126 1 CAMERA 126
127 1 CAMERA 127
128 1 CAMERA 128
129 1 CAMERA 129
130 1 CAMERA 130
131 1 CAMERA 131
132 1 CAMERA 132
133 1 CAMERA 133
134 1 CAMERA 134
135 1 CAMERA 135
136 1 CAMERA 136
137 1 CAMERA 137
138 1 CAMERA 138
139 1 CAMERA 139
140 1 CAMERA 140
141 1 CAMERA 141
142 1 CAMERA 142
143 1 CAMERA 143
144 1 CAMERA 144
145 1 CAMERA 145
146 1 CAMERA 146
147 1 CAMERA 147
148 1 CAMERA 148
149 1 CAMERA 149
150 1 CAMERA 150
151 1 CAMERA 151
152 1 CAMERA 152
153 1 CAMERA 153
154 1 CAMERA 154
155 1 CAMERA 155
156 1 CAMERA 156
157 1 CAMERA 157
158 1 CAMERA 158
159 1 CAMERA 159
160 1 CAMERA 160
161 1 CAMERA 161
162 1 CAMERA 162
163 1 CAMERA 163
164 1 CAMERA 164
165 1 CAMERA 165
166 1 CAMERA 166
167 1 CAMERA 167
168 1 CAMERA 168
169 1 CAMERA 169
170 1 CAMERA 170
171 1 CAMERA 171
172 1 CAMERA 172
173 1 CAMERA 173
174 1 CAMERA 174
175 1 CAMERA 175
176 1 CAMERA 176
177 1 CAMERA 177
178 1 CAMERA 178
179 1 CAMERA 179
180 1 CAMERA 180
181 1 CAMERA 181
182 1 CAMERA 182
183 1 CAMERA 183
184 1 CAMERA 184
185 1 CAMERA 185
186 1 CAMERA 186
187 1 CAMERA 187
188 1 CAMERA 188
189 1 CAMERA 189
190 1 CAMERA 190
191 1 CAMERA 191
192 1 CAMERA 192
193 1 CAMERA 193
194 1 CAMERA 194
195 1 CAMERA 195
196 1 CAMERA 196
197 1 CAMERA 197
198 1 CAMERA 198
199 1 CAMERA 199
200 1 CAMERA 200
201 1 CAMERA 201
202 1 CAMERA 202
203 1 CAMERA 203
204 1 CAMERA 204
205 1 CAMERA 205
206 1 CAMERA 206
207 1 CAMERA 207
208 1 CAMERA 208
209 1 CAMERA 209
210 1 CAMERA 210
211 1 CAMERA 211
212 1 CAMERA 212
213 1 CAMERA 213
214 1 CAMERA 214
215 1 CAMERA 215
216 1 CAMERA 216
217 1 CAMERA 217
218 1 CAMERA 218
219 1 CAMERA 219
220 1 CAMERA 220
221 1 CAMERA 221
222 1 CAMERA 222
223 1 CAMERA 223
224 1 CAMERA 224
225 1 CAMERA 225
226 1 CAMERA 226
227 1 CAMERA 227
228 1 CAMERA 228
229 1 CAMERA 229
230 1 CAMERA 230
231 1 CAMERA 231
232 1 CAMERA 232
233 1 CAMERA 233
234 1 CAMERA 234
235 1 CAMERA 235
236 1 CAMERA 236
237 1 CAMERA 237
238 1 CAMERA 238
